cruise_line,cruise_ship,date,score
Hapag Lloyd Kreuzfahrten Gmbh,Europa,11/10/2000,96
Royal Caribbean International,Explorer Of The Seas,11/18/2000,91
Holland America Line,Ryndam,11/4/2000,96
Seabourn Cruise Line,Seabourn Legend,11/28/2000,95
Royal Caribbean International,Voyager Of The Seas,11/12/2000,92
"Carnival Cruise Lines, Inc.",Carnival Fascination,12/2/2000,95
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/17/2000,98
Princess Cruises,Dawn Princess,12/9/2000,96
Royal Caribbean International,Enchantment Of The Seas,12/3/2000,99
Princess Cruises,Grand Princess,12/17/2000,94
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,12/31/2000,99
"Japan Cruise Line, Inc",Pacific Venus,12/31/2000,82
Holland America Line,Rotterdam,12/10/2000,97
P&O Cruises,Aurora,1/29/2001,98
"Carnival Cruise Lines, Inc.",Carnival Elation,1/18/2001,95
"Carnival Cruise Lines, Inc.",Carnival Sensation,1/26/2001,90
"Carnival Cruise Lines, Inc.",Carnival Triumph,1/27/2001,98
"Carnival Cruise Lines, Inc.",Carnival Victory,1/28/2001,83
Celebrity Cruises,Celebrity Millennium,1/7/2001,93
Club Med Marine,Club Med 2,1/3/2001,99
"Crystal Cruises , Inc.",Crystal Symphony,1/19/2001,93
Disney Cruise Lines,Disney Magic,1/20/2001,96
Disney Cruise Lines,Disney Wonder,1/28/2001,99
"Mitsui O.S.K. Passenger Line, Ltd",Fuji Maru,1/3/2001,91
Princess Cruises,Sea Princess,1/13/2001,97
Regent Seven Seas,Seven Seas Navigator,1/7/2001,98
Holland America Line,Statendam,1/19/2001,94
Royal Caribbean International,Vision Of The Seas,1/6/2001,92
"Carnival Cruise Lines, Inc.",Carnival Imagination,2/10/2001,94
"Carnival Cruise Lines, Inc.",Carnival Sunshine,2/4/2001,96
"Carnival Cruise Lines, Inc.",Carnival Victory,2/11/2001,97
Royal Caribbean International,Majesty Of The Seas,2/9/2001,90
Royal Caribbean International,Monarch Of The Seas,2/5/2001,93
Princess Cruises,Sun Princess,2/5/2001,98
Holland America Line,Zaandam,2/2/2001,97
"Carnival Cruise Lines, Inc.",Carnival Paradise,3/4/2001,95
Celebrity Cruises,Celebrity Infinity,3/27/2001,97
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,3/4/2001,99
P&O Cruises,Oriana,3/5/2001,100
Seabourn Cruise Line,Seabourn Legend,3/26/2001,97
Seabourn Cruise Line,Seabourn Pride,3/27/2001,93
Regent Seven Seas,Seven Seas Navigator,3/29/2001,100
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,4/27/2001,84
Celebrity Cruises,Celebrity Millennium,4/22/2001,92
Club Med Marine,Club Med 2,4/11/2001,94
Costa Crociere S.P.A.,Costa Atlantica,4/4/2001,100
Blount Small Ship Adventures,Grande Mariner,4/27/2001,95
Royal Caribbean International,Grandeur Of The Seas,4/14/2001,94
Holland America Line,Maasdam,4/1/2001,94
Norwegian Cruise Lines,Norwegian Sky,4/29/2001,100
Royal Caribbean International,Radiance Of The Seas,4/30/2001,90
Regent Seven Seas,Seven Seas Mariner,4/26/2001,92
Holland America Line,Volendam,4/3/2001,98
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,5/6/2001,96
Royal Caribbean International,Explorer Of The Seas,5/5/2001,100
Blount Small Ship Adventures,Grande Caribe,5/25/2001,87
V. Ships Leisure U.S.A.,MV Yorktown,5/26/2001,95
"Japan Cruise Line, Inc",Pacific Venus,5/11/2001,89
Royal Caribbean International,Rhapsody Of The Seas,5/27/2001,99
Holland America Line,Ryndam,5/28/2001,99
Un-Cruise Adventures,Safari Quest,5/26/2001,68
Lindblad Expeditions,Sea Lion,5/31/2001,92
Holland America Line,Veendam,5/30/2001,99
Royal Caribbean International,Voyager Of The Seas,5/13/2001,95
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,6/25/2001,93
"Carnival Cruise Lines, Inc.",Carnival Fantasy,6/3/2001,92
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/4/2001,92
"Carnival Cruise Lines, Inc.",Carnival Inspiration,6/24/2001,94
"Carnival Cruise Lines, Inc.",Carnival Spirit,6/10/2001,93
Princess Cruises,Dawn Princess,6/12/2001,100
Disney Cruise Lines,Disney Magic,6/2/2001,95
Royal Caribbean International,Enchantment Of The Seas,6/10/2001,96
Princess Cruises,Grand Princess,6/3/2001,91
Lindblad Expeditions,Sea Bird,6/16/2001,97
Princess Cruises,Sea Princess,6/13/2001,95
Holland America Line,Statendam,6/14/2001,95
Holland America Line,Zaandam,6/11/2001,97
"Carnival Cruise Lines, Inc.",Carnival Elation,7/22/2001,98
"Carnival Cruise Lines, Inc.",Carnival Paradise,7/15/2001,94
"Carnival Cruise Lines, Inc.",Carnival Sensation,7/20/2001,94
"Carnival Cruise Lines, Inc.",Carnival Triumph,7/24/2001,96
Celebrity Cruises,Celebrity Century,7/14/2001,96
Royal Caribbean International,Monarch Of The Seas,7/23/2001,98
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,8/12/2001,94
Celebrity Cruises,Celebrity Infinity,8/8/2001,95
Royal Caribbean International,Majesty Of The Seas,8/17/2001,96
Lindblad Expeditions,Sea Bird,8/4/2001,97
Lindblad Expeditions,Sea Lion,8/5/2001,97
Regent Seven Seas,Seven Seas Mariner,8/13/2001,100
Regent Seven Seas,Seven Seas Mariner,8/1/2001,83
Silversea Cruises Ltd,Silver Discoverer,8/4/2001,98
Princess Cruises,Sun Princess,8/10/2001,100
Royal Caribbean International,Vision Of The Seas,8/9/2001,92
P&O Cruises,Aurora,9/9/2001,100
"Carnival Cruise Lines, Inc.",Carnival Imagination,9/17/2001,92
"Carnival Cruise Lines, Inc.",Carnival Spirit,9/24/2001,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,9/9/2001,94
"Carnival Cruise Lines, Inc.",Carnival Victory,9/29/2001,97
Disney Cruise Lines,Disney Wonder,9/6/2001,99
Hapag Lloyd Kreuzfahrten Gmbh,Europa,9/24/2001,100
Blount Small Ship Adventures,Grande Caribe,9/29/2001,91
Blount Small Ship Adventures,Grande Mariner,9/30/2001,90
V. Ships Leisure U.S.A.,MV Yorktown,9/11/2001,90
Royal Caribbean International,Radiance Of The Seas,9/21/2001,95
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/25/2001,90
Celebrity Cruises,Celebrity Summit,10/22/2001,100
Hapag Lloyd Kreuzfahrten Gmbh,Europa,10/23/2001,96
Princess Cruises,Golden Princess,10/24/2001,98
Holland America Line,Maasdam,10/25/2001,92
Norwegian Cruise Lines,Norwegian Sky,10/11/2001,99
Norwegian Cruise Lines,Norwegian Sun,10/22/2001,97
Holland America Line,Ryndam,10/8/2001,95
Seabourn Cruise Line,Seabourn Pride,10/25/2001,95
Holland America Line,Volendam,10/6/2001,99
Royal Caribbean International,Voyager Of The Seas,10/21/2001,92
Royal Caribbean International,Adventure Of The Seas,11/25/2001,97
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,11/2/2001,92
Celebrity Cruises,Celebrity Millennium,11/18/2001,91
Club Med Marine,Club Med 2,11/27/2001,93
Royal Caribbean International,Grandeur Of The Seas,11/19/2001,97
Royal Caribbean International,Rhapsody Of The Seas,11/4/2001,94
Seabourn Cruise Line,Seabourn Legend,11/17/2001,98
Silversea Cruises Ltd,Silver Whisper,11/29/2001,98
Holland America Line,Statendam,11/3/2001,87
Holland America Line,Veendam,11/17/2001,92
Holland America Line,Amsterdam,12/13/2001,98
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/2/2001,98
Celebrity Cruises,Celebrity Century,12/18/2001,97
Costa Crociere S.P.A.,Costa Atlantica,12/19/2001,91
"Crystal Cruises , Inc.",Crystal Symphony,12/6/2001,95
Princess Cruises,Dawn Princess,12/7/2001,95
Disney Cruise Lines,Disney Magic,12/15/2001,99
Royal Caribbean International,Enchantment Of The Seas,12/9/2001,96
Royal Caribbean International,Explorer Of The Seas,12/22/2001,94
Royal Caribbean International,Monarch Of The Seas,12/10/2001,92
Norwegian Cruise Lines,Norwegian Star,12/16/2001,97
Holland America Line,Rotterdam,12/6/2001,99
Princess Cruises,Sea Princess,12/15/2001,97
Sea Dream Yacht Club,Seadream I,12/16/2001,90
Regent Seven Seas,Seven Seas Navigator,12/14/2001,99
Holland America Line,Zaandam,12/17/2001,94
P&O Cruises,Aurora,1/25/2002,97
"Carnival Cruise Lines, Inc.",Carnival Elation,1/27/2002,93
"Carnival Cruise Lines, Inc.",Carnival Fascination,1/4/2002,95
"Carnival Cruise Lines, Inc.",Carnival Sensation,1/11/2002,98
"Carnival Cruise Lines, Inc.",Carnival Triumph,1/8/2002,97
Princess Cruises,Grand Princess,1/6/2002,97
Royal Caribbean International,Majesty Of The Seas,1/21/2002,96
Princess Cruises,Sun Princess,1/5/2002,96
Royal Caribbean International,Vision Of The Seas,1/20/2002,93
"Carnival Cruise Lines, Inc.",Carnival Paradise,2/10/2002,94
"Carnival Cruise Lines, Inc.",Carnival Pride,2/9/2002,97
"Carnival Cruise Lines, Inc.",Carnival Sunshine,2/18/2002,92
"Carnival Cruise Lines, Inc.",Carnival Victory,2/26/2002,92
Celebrity Cruises,Celebrity Infinity,2/16/2002,95
Disney Cruise Lines,Disney Wonder,2/7/2002,99
Royal Caribbean International,Radiance Of The Seas,2/17/2002,99
Seabourn Cruise Line,Seabourn Legend,2/24/2002,98
Sea Dream Yacht Club,Seadream II,2/23/2002,81
Sea Dream Yacht Club,Seadream II,2/4/2002,82
Regent Seven Seas,Seven Seas Mariner,2/19/2002,97
"Carnival Cruise Lines, Inc.",Carnival Imagination,3/28/2002,95
"Carnival Cruise Lines, Inc.",Carnival Spirit,3/11/2002,99
Club Med Marine,Club Med 2,3/12/2002,97
Costa Crociere S.P.A.,Costa Atlantica,3/12/2002,97
Royal Caribbean International,Grandeur Of The Seas,3/15/2002,99
P&O Cruises,Oriana,3/14/2002,98
Seabourn Cruise Line,Seabourn Pride,3/19/2002,95
Sea Dream Yacht Club,Seadream II,3/30/2002,94
Holland America Line,Volendam,3/13/2002,99
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/18/2002,97
Princess Cruises,Golden Princess,4/6/2002,99
Blount Small Ship Adventures,Grande Mariner,4/26/2002,95
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,4/9/2002,96
Norwegian Cruise Lines,Norwegian Star,4/7/2002,95
Norwegian Cruise Lines,Norwegian Sun,4/13/2002,98
Princess Cruises,Star Princess,4/20/2002,100
Royal Caribbean International,Voyager Of The Seas,4/14/2002,95
Royal Caribbean International,Adventure Of The Seas,5/5/2002,98
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/17/2002,91
"Carnival Cruise Lines, Inc.",Carnival Paradise,5/26/2002,96
Celebrity Cruises,Celebrity Century,5/6/2002,94
Celebrity Cruises,Celebrity Millennium,5/10/2002,96
"Crystal Cruises , Inc.",Crystal Symphony,5/13/2002,97
Royal Caribbean International,Enchantment Of The Seas,5/5/2002,92
Royal Caribbean International,Legend Of The Seas,5/29/2002,100
Holland America Line,Maasdam,5/5/2002,98
V. Ships Leisure U.S.A.,MV Yorktown,5/25/2002,88
Royal Caribbean International,Rhapsody Of The Seas,5/7/2002,99
Holland America Line,Ryndam,5/14/2002,93
Un-Cruise Adventures,Safari Quest,5/25/2002,86
Seabourn Cruise Line,Seabourn Spirit,5/26/2002,94
Holland America Line,Statendam,5/28/2002,94
Holland America Line,Veendam,5/30/2002,97
Holland America Line,Amsterdam,6/29/2002,96
"Carnival Cruise Lines, Inc.",Carnival Inspiration,6/9/2002,99
"Carnival Cruise Lines, Inc.",Carnival Triumph,6/24/2002,93
Celebrity Cruises,Celebrity Summit,6/25/2002,93
Princess Cruises,Dawn Princess,6/27/2002,93
Disney Cruise Lines,Disney Magic,6/15/2002,99
Royal Caribbean International,Explorer Of The Seas,6/8/2002,99
Royal Caribbean International,Monarch Of The Seas,6/6/2002,95
Norwegian Cruise Lines,Norwegian Sky,6/30/2002,95
Holland America Line,Rotterdam,6/28/2002,98
Lindblad Expeditions,Sea Bird,6/22/2002,92
Lindblad Expeditions,Sea Lion,6/23/2002,92
Silversea Cruises Ltd,Silver Discoverer,6/25/2002,94
Holland America Line,Zaandam,6/24/2002,94
"Carnival Cruise Lines, Inc.",Carnival Elation,7/28/2002,95
"Carnival Cruise Lines, Inc.",Carnival Fascination,7/15/2002,93
"Carnival Cruise Lines, Inc.",Carnival Pride,7/13/2002,97
Celebrity Cruises,Celebrity Infinity,7/10/2002,90
Disney Cruise Lines,Disney Wonder,7/14/2002,99
Princess Cruises,Grand Princess,7/14/2002,97
Royal Caribbean International,Majesty Of The Seas,7/12/2002,97
Royal Caribbean International,Radiance Of The Seas,7/11/2002,95
Princess Cruises,Sea Princess,7/8/2002,94
Regent Seven Seas,Seven Seas Navigator,7/17/2002,100
Princess Cruises,Sun Princess,7/15/2002,95
Royal Caribbean International,Vision Of The Seas,7/12/2002,97
"Carnival Cruise Lines, Inc.",Carnival Imagination,8/1/2002,97
"Carnival Cruise Lines, Inc.",Carnival Spirit,8/12/2002,97
"Carnival Cruise Lines, Inc.",Carnival Sunshine,8/12/2002,92
"Carnival Cruise Lines, Inc.",Carnival Victory,8/13/2002,96
Blount Small Ship Adventures,Grande Mariner,8/24/2002,92
V. Ships Leisure U.S.A.,MV Yorktown,8/10/2002,95
Un-Cruise Adventures,Safari Quest,8/10/2002,87
Seabourn Cruise Line,Seabourn Spirit,8/9/2002,98
P&O Cruises,Aurora,9/19/2002,100
"Carnival Cruise Lines, Inc.",Carnival Sensation,9/12/2002,89
Blount Small Ship Adventures,Grande Caribe,9/6/2002,95
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,9/5/2002,95
Royal Caribbean International,Legend Of The Seas,9/8/2002,95
Lindblad Expeditions,Sea Bird,9/4/2002,94
Lindblad Expeditions,Sea Lion,9/7/2002,96
Silversea Cruises Ltd,Silver Shadow,9/18/2002,99
Princess Cruises,Star Princess,9/11/2002,100
ResidenSea,The World,9/7/2002,100
Royal Caribbean International,Adventure Of The Seas,10/27/2002,99
Fred Olsen Cruise Line,Braemar,10/7/2002,95
Royal Caribbean International,Brilliance Of The Seas,10/2/2002,100
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,10/18/2002,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/10/2002,96
"Carnival Cruise Lines, Inc.",Carnival Legend,10/30/2002,100
Royal Caribbean International,Enchantment Of The Seas,10/29/2002,92
Princess Cruises,Golden Princess,10/4/2002,99
Holland America Line,Maasdam,10/27/2002,94
Norwegian Cruise Lines,Norwegian Star,10/20/2002,100
Seabourn Cruise Line,Seabourn Pride,10/11/2002,91
Sea Dream Yacht Club,Seadream II,10/26/2002,96
Aida Cruises,AIDAVITA,11/14/2002,98
Celebrity Cruises,Celebrity Century,11/16/2002,96
Celebrity Cruises,Celebrity Constellation,11/12/2002,98
Celebrity Cruises,Celebrity Summit,11/8/2002,95
Costa Crociere S.P.A.,Costa Atlantica,11/24/2002,96
"Crystal Cruises , Inc.",Crystal Symphony,11/17/2002,93
Princess Cruises,Dawn Princess,11/20/2002,91
Royal Caribbean International,Explorer Of The Seas,11/9/2002,96
Royal Caribbean International,Monarch Of The Seas,11/7/2002,87
V. Ships Leisure U.S.A.,MV Explorer,11/25/2002,95
P&O Cruises,Oceana,11/29/2002,95
Royal Caribbean International,Rhapsody Of The Seas,11/10/2002,99
Holland America Line,Rotterdam,11/20/2002,97
Holland America Line,Ryndam,11/23/2002,91
Sea Dream Yacht Club,Seadream I,11/16/2002,93
Silversea Cruises Ltd,Silver Whisper,11/17/2002,92
Holland America Line,Statendam,11/25/2002,96
Holland America Line,Volendam,11/26/2002,97
"Carnival Cruise Lines, Inc.",Carnival Conquest,12/15/2002,97
Celebrity Cruises,Celebrity Millennium,12/19/2002,96
Norwegian Cruise Lines,Norwegian Sky,12/29/2002,97
Royal Caribbean International,Radiance Of The Seas,12/22/2002,93
Princess Cruises,Sea Princess,12/13/2002,96
Silversea Cruises Ltd,Silver Cloud,12/22/2002,96
Holland America Line,Amsterdam,1/4/2003,93
P&O Cruises,Aurora,1/27/2003,99
"Carnival Cruise Lines, Inc.",Carnival Elation,1/5/2003,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,1/6/2003,90
"Carnival Cruise Lines, Inc.",Carnival Inspiration,1/12/2003,92
"Carnival Cruise Lines, Inc.",Carnival Pride,1/19/2003,95
"Carnival Cruise Lines, Inc.",Carnival Triumph,1/7/2003,94
Celebrity Cruises,Celebrity Infinity,1/19/2003,93
Club Med Marine,Club Med 2,1/27/2003,98
Disney Cruise Lines,Disney Magic,1/25/2003,92
Disney Cruise Lines,Disney Wonder,1/26/2003,99
Norwegian Cruise Lines,Norwegian Sun,1/18/2003,98
Seabourn Cruise Line,Seabourn Legend,1/4/2003,94
Regent Seven Seas,Seven Seas Mariner,1/7/2003,100
Princess Cruises,Star Princess,1/25/2003,98
Holland America Line,Veendam,1/11/2003,91
Royal Caribbean International,Vision Of The Seas,1/26/2003,94
Royal Caribbean International,Voyager Of The Seas,1/5/2003,86
Holland America Line,Zaandam,1/8/2003,86
Holland America Line,Zuiderdam,1/18/2003,97
"Carnival Cruise Lines, Inc.",Carnival Imagination,2/13/2003,95
"Carnival Cruise Lines, Inc.",Carnival Spirit,2/12/2003,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,2/9/2003,95
Princess Cruises,Coral Princess,2/12/2003,100
Princess Cruises,Grand Princess,2/9/2003,96
Royal Caribbean International,Grandeur Of The Seas,2/15/2003,97
Royal Caribbean International,Majesty Of The Seas,2/14/2003,94
V. Ships Leisure U.S.A.,MV Yorktown,2/7/2003,92
Royal Caribbean International,Navigator Of The Seas,2/1/2003,95
Norwegian Cruise Lines,Norwegian Dawn,2/11/2003,95
Regent Seven Seas,Seven Seas Navigator,2/26/2003,99
Princess Cruises,Sun Princess,2/24/2003,97
"Carnival Cruise Lines, Inc.",Carnival Legend,3/2/2003,92
"Carnival Cruise Lines, Inc.",Carnival Paradise,3/20/2003,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,3/22/2003,88
"Carnival Cruise Lines, Inc.",Carnival Victory,3/9/2003,94
Costa Crociere S.P.A.,Costa Atlantica,3/23/2003,99
Royal Caribbean International,Legend Of The Seas,3/17/2003,95
Holland America Line,Maasdam,3/9/2003,87
P&O Cruises,Oceana,3/21/2003,97
P&O Cruises,Oriana,3/19/2003,98
Sea Dream Yacht Club,Seadream I,3/9/2003,96
Sea Dream Yacht Club,Seadream II,3/16/2003,95
Silversea Cruises Ltd,Silver Cloud,3/18/2003,91
Silversea Cruises Ltd,Silver Whisper,3/16/2003,92
Royal Caribbean International,Adventure Of The Seas,4/3/2003,97
Royal Caribbean International,Brilliance Of The Seas,4/28/2003,96
Celebrity Cruises,Celebrity Constellation,4/4/2003,96
Celebrity Cruises,Celebrity Millennium,4/17/2003,99
Celebrity Cruises,Celebrity Summit,4/4/2003,94
Club Med Marine,Club Med 2,4/14/2003,96
Princess Cruises,Golden Princess,4/16/2003,100
Blount Small Ship Adventures,Grande Caribe,4/11/2003,95
Blount Small Ship Adventures,Grande Mariner,4/11/2003,90
Royal Caribbean International,Monarch Of The Seas,4/19/2003,93
V. Ships Leisure U.S.A.,MV Explorer,4/3/2003,99
Norwegian Cruise Lines,Norwegian Star,4/13/2003,96
Princess Cruises,Sea Princess,4/5/2003,94
Holland America Line,Statendam,4/13/2003,93
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/30/2003,90
"Carnival Cruise Lines, Inc.",Carnival Fantasy,5/15/2003,87
Celebrity Cruises,Celebrity Century,5/3/2003,97
Royal Caribbean International,Explorer Of The Seas,5/7/2003,95
Princess Cruises,Pacific Princess,5/29/2003,96
Holland America Line,Prinsendam,5/17/2003,95
Royal Caribbean International,Rhapsody Of The Seas,5/11/2003,92
Holland America Line,Rotterdam,5/6/2003,96
Holland America Line,Ryndam,5/26/2003,95
Holland America Line,Volendam,5/16/2003,94
Holland America Line,Zaandam,5/27/2003,95
"Carnival Cruise Lines, Inc.",Carnival Conquest,6/8/2003,89
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/20/2003,91
"Carnival Cruise Lines, Inc.",Carnival Pride,6/21/2003,94
Celebrity Cruises,Celebrity Infinity,6/22/2003,93
Princess Cruises,Dawn Princess,6/27/2003,97
Disney Cruise Lines,Disney Wonder,6/22/2003,98
Royal Caribbean International,Enchantment Of The Seas,6/14/2003,95
Hapag Lloyd Kreuzfahrten Gmbh,Europa,6/28/2003,97
Norwegian Cruise Lines,Norwegian Sky,6/24/2003,97
"Japan Cruise Line, Inc",Pacific Venus,6/19/2003,90
Royal Caribbean International,Radiance Of The Seas,6/23/2003,99
Un-Cruise Adventures,Safari Quest,6/28/2003,89
Lindblad Expeditions,Sea Lion,6/21/2003,91
Royal Caribbean International,Vision Of The Seas,6/26/2003,97
Holland America Line,Zuiderdam,6/21/2003,91
"Carnival Cruise Lines, Inc.",Carnival Elation,7/27/2003,92
"Carnival Cruise Lines, Inc.",Carnival Inspiration,7/20/2003,95
"Carnival Cruise Lines, Inc.",Carnival Sunshine,7/14/2003,95
"Carnival Cruise Lines, Inc.",Carnival Triumph,7/12/2003,97
Disney Cruise Lines,Disney Magic,7/16/2003,94
Princess Cruises,Grand Princess,7/20/2003,96
Princess Cruises,Island Princess,7/19/2003,95
V. Ships Leisure U.S.A.,MV Yorktown,7/12/2003,90
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,7/3/2003,98
Norwegian Cruise Lines,Norwegian Sun,7/1/2003,97
Regent Seven Seas,Seven Seas Mariner,7/16/2003,98
Silversea Cruises Ltd,Silver Discoverer,7/22/2003,90
ResidenSea,The World,7/14/2003,98
Holland America Line,Veendam,7/20/2003,98
Royal Caribbean International,Voyager Of The Seas,7/27/2003,95
"Carnival Cruise Lines, Inc.",Carnival Glory,8/2/2003,88
"Carnival Cruise Lines, Inc.",Carnival Imagination,8/23/2003,96
"Carnival Cruise Lines, Inc.",Carnival Paradise,8/7/2003,94
"Carnival Cruise Lines, Inc.",Carnival Sensation,8/14/2003,94
"Carnival Cruise Lines, Inc.",Carnival Spirit,8/29/2003,96
"Carnival Cruise Lines, Inc.",Carnival Victory,8/14/2003,98
Princess Cruises,Coral Princess,8/13/2003,95
Blount Small Ship Adventures,Grande Caribe,8/5/2003,87
Royal Caribbean International,Legend Of The Seas,8/27/2003,99
Royal Caribbean International,Majesty Of The Seas,8/22/2003,95
Royal Caribbean International,Navigator Of The Seas,8/6/2003,98
Norwegian Cruise Lines,Norwegian Dawn,8/10/2003,96
Princess Cruises,Pacific Princess,8/9/2003,96
Lindblad Expeditions,Sea Bird,8/24/2003,94
Princess Cruises,Star Princess,8/28/2003,100
Princess Cruises,Sun Princess,8/15/2003,98
Holland America Line,Amsterdam,9/4/2003,97
Hapag Lloyd Kreuzfahrten Gmbh,Bremen,9/2/2003,95
